"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
30.1,-0.000265310549290933,-0.272360561094284
30.11,-0.000281563270118366,-0.272601827101583
30.12,-0.00250588855513181,-0.274903855565686
30.13,-0.00681559830996953,-0.279082138769768
30.14,-0.0130048394104314,-0.284889722922225
30.15,-0.020794587247452,-0.292025941095452
30.16,-0.0298454946224906,-0.300147620938742
30.17,-0.0397728674966229,-0.30888209826779
30.18,-0.0501629843987965,-0.317841333542147
30.19,-0.0605899820279375,-0.326636443575087
30.2,-0.0706325855797229,-0.334892015649082
30.21,-0.0798900539728872,-0.342259652793554
30.22,-0.087996821204925,-0.348430293982002
30.23,-0.0946354302482287,-0.353144949409253
30.24,-0.099547462813964,-0.356203579505503
30.25,-0.10254225857099,-0.357471921061358
30.26,-0.103503286970417,-0.35688612250008
30.27,-0.102392083734974,-0.354455093961797
30.28,-0.0992496958027183,-0.3502605101818
30.29,-0.0941955991241752,-0.344454430813059
30.3,-0.0874240709051354,-0.337254530606393
30.31,-0.0791980200546527,-0.32893696764067
30.32,-0.0698403148212748,-0.319826967736464
30.33,-0.0597227016188603,-0.310287271674151
30.34,-0.0492524881537117,-0.30070468053051
30.35,-0.0388572679408541,-0.291475041426015
30.36,-0.0289680884799538,-0.282987135187711
30.37,-0.0200016031100472,-0.275606048644317
30.38,-0.0123418834071692,-0.269656723724527
30.39,-0.00632268768462918,-0.265408457443238
30.4,-0.00221106274867497,-0.263061165691209
30.41,-0.000193182885050787,-0.26273420695877
30.42,-0.000363289116763668,-0.264458482938894
30.43,-0.0027164779462164,-0.268172392405465
30.44,-0.00714590684974368,-0.273722022482372
30.45,-0.0134447486791727,-0.280865734735622
30.46,-0.0213129621138317,-0.289283064895099
30.47,-0.030368678220902,-0.298587628267265
30.48,-0.0401637615167237,-0.30834352905658
30.49,-0.0502029098966886,-0.31808462544818
30.5,-0.0599655245329531,-0.327335909207271
30.51,-0.0689295103392201,-0.335636215095688
30.52,-0.0765961509735834,-0.34256146962089
30.53,-0.0825152218299349,-0.347747702613631
30.54,-0.086309536784861,-0.350913058242151
30.55,-0.087698144772783,-0.351878034455246
30.56,-0.086517378104849,-0.350583135893025
30.57,-0.0827388895547787,-0.347103036995178
30.58,-0.0764836931230279,-0.341656222205629
30.59,-0.0680310509807912,-0.334608915680903
30.6,-0.0578208504210359,-0.32647196743687
30.61,-0.0464479341102102,-0.317889278466918
30.62,-0.0346467510063817,-0.30961639317355
30.63,-0.0232647702714704,-0.302488143383468
30.64,-0.013223443373958,-0.297374771370148
30.65,-0.00546619937408472,-0.295126842265463
30.66,-0.000894067045558412,-0.296510479430781
30.67,-0.000291014543069981,-0.302135941722343
30.68,-0.00424285910364296,-0.312384139925992
30.69,-0.0130553900114337,-0.327337116220073
30.7,-0.0266788513631654,-0.346719519109896
30.71,-0.0446468314932892,-0.369858498605424
30.72,-0.0660377097137507,-0.395669196041005
30.73,-0.0894661735527223,-0.422672338082727
30.74,-0.113111329867752,-0.449049875352274
30.75,-0.134787319551313,-0.47274488136386
30.76,-0.152063099537283,-0.491613931076609
30.77,-0.162441304916416,-0.503644787101939
30.78,-0.163612966078111,-0.507260102604289
30.79,-0.153816228926089,-0.50173905252974
30.8,-0.132343261101187,-0.487801754415272
30.81,-0.100258121209163,-0.468410449811999
30.82,-0.0614013305059815,-0.449832157435592
30.83,-0.0237417021786463,-0.442948417683273
30.84,-0.00104226842663623,-0.464634007616757
30.85,-0.0145470128272982,-0.538696664775903
30.86,-0.0938805311946165,-0.695397444273116
30.87,-0.275677694853425,-0.9682717293988
30.88,-0.598262858574202,-1.38758551510091
30.89,-1.09219936124133,-1.97187478120733
30.9,-1.77005512427901,-2.72153589137561
30.91,-2.62136981991863,-3.61842272294841
30.92,-3.61636473147139,-4.63171460106733
30.93,-4.71573850658327,-5.72635855524117
30.94,-5.88054990663395,-6.86993782798772
30.95,-7.0782400002817,-8.03621163116235
30.96,-8.28452053072057,-9.2058304290975
30.97,-9.48271796586329,-10.3655014855559
30.98,-10.6621484770664,-11.5066392371211
30.99,-11.8164379575654,-12.6240581471157
31,-12.9421451244815,-13.7149147794508
31.01,-14.0377487267791,-14.7779251379356
31.02,-15.1029452417293,-15.8128143597299
31.03,-16.1381785204055,-16.8199415227997
31.04,-17.1443316790302,-17.8000489153106
31.05,-18.1225284870628,-18.7540969114568
31.06,-19.074007167003,-19.6831566183789
31.07,-20.0000415126766,-20.5883410685493
31.08,-20.9018926928466,-21.4707619437757
31.09,-21.7807808346231,-22.3315031184144
31.1,-22.6378692759081,-23.1716052227845
31.11,-23.4742568628094,-23.9920573779699
31.12,-24.2909752893817,-24.7937935512066
31.13,-25.0889895327747,-25.5776918431796
31.14,-25.8692001244886,-26.3445755910815
31.15,-26.6324464468921,-27.0952155519008
31.16,-27.3795105369818,-27.8303326837617
31.17,-28.1111210707155,-28.5506012119435
31.18,-28.8279573262482,-29.2566517787671
31.19,-29.5306530058412,-29.9490745514763
31.2,-30.2197998490736,-30.628422212062
31.21,-30.895951003953,-31.2952127858923
