"Freq [GHz]","im(S(2,1)) []","re(S(2,1)) []"
33.56,-4.6570032452139E-05,-0.000477784414122124
33.58,-3.95151777216259E-05,-0.000469833957639989
33.6,-3.27167589070522E-05,-0.000462038506825556
33.62,-2.61640871970382E-05,-0.000454394589789714
33.64,-1.98469649273316E-05,-0.000446898787945311
33.66,-1.37556606831576E-05,-0.000439547737744273
33.68,-7.88088578130109E-06,-0.000432338132088113
33.7,-2.2137720495582E-06,-0.000425266721444047
33.72,3.25414917456783E-06,-0.000418330314698232
33.74,8.53096689719634E-06,-0.000411525779772365
33.76,1.36244092425102E-05,-0.000404850044029654
33.78,1.85418612109343E-05,-0.000398300094492257
33.8,2.32903814806842E-05,-0.000391872977890932
33.82,2.78767183089347E-05,-0.000385565800565267
33.84,3.23073245843353E-05,-0.000379375728231986
33.86,3.65883720802786E-05,-0.000373299985635746
33.88,4.07257649544879E-05,-0.000367335856097212
33.9,4.47251525385654E-05,-0.00036148068097043
33.92,4.8591941457507E-05,-0.000355731859021026
33.94,5.23313071175506E-05,-0.000350086845735457
33.96,5.5948204597824E-05,-0.000344543152570796
33.98,5.944737897924E-05,-0.000339098346153379
34,6.28333751424642E-05,-0.000333750047433758
34.02,6.61105470642038E-05,-0.000328495930804898
34.04,6.92830666398437E-05,-0.000323333723190252
34.06,7.23549320583254E-05,-0.000318261203106179
34.08,7.53299757543949E-05,-0.00031327619970504
34.1,7.8211871960502E-05,-0.000308376591802347
34.12,8.10041438813701E-05,-0.000303560306892948
34.14,8.37101705102173E-05,-0.000298825320158586
34.16,8.63331931073088E-05,-0.000294169653471823
34.18,8.88763213583446E-05,-0.000289591374397403
34.2,9.13425392296031E-05,-0.000285088595195064
34.22,9.37347105367224E-05,-0.00028065947182491
34.24,9.60555842416117E-05,-0.000276302202958384
34.26,9.83077994920982E-05,-0.000272015028995748
34.28,0.000100493890418145,-0.000267796231092487
34.3,0.000102616290696745,-0.000263644130194979
34.32,0.000104677337898082,-0.000259557086087619
34.34,0.000106679277624071,-0.000255533496452084
34.36,0.000108624267450098,-0.000251571795938955
34.38,0.000110514380679942,-0.000247670455253984
34.4,0.000112351609923631,-0.000243827980257693
34.42,0.000114137870506915,-0.000240042911080772
34.44,0.000115875003721576,-0.000236313821254174
34.46,0.0001175647799237,-0.000232639316855293
34.48,0.000119208901488423,-0.000229018035669978
34.5,0.000120809005627794,-0.00022544864637044
34.52,0.000122366667078566,-0.00022192984771011
34.54,0.000123883400666984,-0.000218460367734181
34.56,0.000125360663755813,-0.000215038963007116
34.58,0.000126799858580073,-0.000211664417856296
34.6,0.000128202334476474,-0.00020833554363215
34.62,0.000129569390011957,-0.000205051177984527
34.64,0.000130902275016374,-0.000201810184155403
34.66,0.000132202192523648,-0.000198611450287286
34.68,0.000133470300625863,-0.000195453888747966
34.7,0.000134707714244717,-0.000192336435470519
34.72,0.000135915506823984,-0.000189258049309107
34.74,0.000137094711946859,-0.000186217711409858
34.76,0.000138246324881894,-0.000183214424596784
34.78,0.000139371304060384,-0.000180247212772589
34.8,0.000140470572489088,-0.00017731512033401
34.82,0.000141545019100819,-0.000174417211601139
34.84,0.000142595500045901,-0.000171552570261319
34.86,0.000143622839927224,-0.000168720298826112
34.88,0.000144627832981775,-0.000165919518102126
34.9,0.0001456112442104,-0.000163149366675028
34.92,0.000146573810459022,-0.000160409000406115
34.94,0.00014751624145283,-0.000157697591941972
34.96,0.000148439220785815,-0.000155014330235944
34.98,0.00014934340686778,-0.000152358420082092
35,0.000150229433830531,-0.000149729081660683
35.02,0.000151097912395039,-0.000147125550095184
35.04,0.000151949430701517,-0.000144547075020621
35.06,0.000152784555103907,-0.000141992920162741
35.08,0.000153603830930126,-0.000139462362927871
35.1,0.000154407783210018,-0.000136954694003349
35.12,0.000155196917372067,-0.000134469216967828
35.14,0.000155971719910146,-0.000132005247911823
35.16,0.000156732659022088,-0.000129562115067726
35.18,0.000157480185220455,-0.00012713915844912
35.2,0.000158214731917648,-0.000124735729499597
35.22,0.000158936715985515,-0.000122351190750108
35.24,0.000159646538291171,-0.000119984915485391
35.26,0.000160344584209785,-0.000117636287418647
35.28,0.00016103122411513,-0.000115304700374526
35.3,0.00016170681384919,-0.000112989557980241
35.32,0.000162371695171069,-0.000110690273364306
35.34,0.000163026196186941,-0.000108406268863194
35.36,0.000163670631760722,-0.000106136975735339
35.38,0.000164305303907216,-0.000103881833882136
35.4,0.000164930502167611,-0.000101640291576434
35.42,0.000165546503968724,-9.94118051975475E-05
35.44,0.000166153574966002,-9.719583897312E-05
35.46,0.000166751969371462,-9.49918647275645E-05
35.48,0.000167341930266601,-9.27993616368112E-05
35.5,0.000167923689901382,-9.06178159892231E-05
35.52,0.000168497469979282,-8.8446720952686E-05
35.54,0.000169063481929438,-8.62855763475058E-05
35.56,0.000169621927165993,-8.41338884251508E-05
35.58,0.000170172997335227,-8.19911696525879E-05
35.6,0.0001707168745509,-7.98569385021477E-05
35.62,0.000171253731618419,-7.77307192467326E-05
35.64,0.000171783732247768,-7.56120417602336E-05
35.66,0.000172307031256115,-7.3500441323295E-05
35.68,0.000172823774760145,-7.13954584337832E-05
35.7,0.00017333410035845,-6.92966386225534E-05
