"Freq [GHz]","dB(S(1,2)) []"
31.36,-27.3534554976659
31.37,-27.8129873343228
31.38,-28.2658224504435
31.39,-28.7121509015446
31.4,-29.1521544404897
31.41,-29.5860069554837
31.42,-30.0138748875159
31.43,-30.435917626857
31.44,-30.852287888656
31.45,-31.2631320680002
31.46,-31.6685905750284
31.47,-32.0687981508299
31.48,-32.4638841649639
31.49,-32.8539728954857
31.5,-33.2391837923897
31.51,-33.6196317253882
31.52,-33.9954272169223
31.53,-34.3666766612854
31.54,-34.7334825307088
31.55,-35.0959435692116
31.56,-35.4541549749912
31.57,-35.8082085720792
31.58,-36.1581929719548
31.59,-36.5041937257557
31.6,-36.8462934676999
31.61,-37.1845720502814
31.62,-37.5191066717752
31.63,-37.849971996544
31.64,-38.1772402686112
31.65,-38.500981418933
31.66,-38.82126316677
31.67,-39.1381511155332
31.68,-39.4517088434551
31.69,-39.7619979894102
31.7,-40.0690783341861
31.71,-40.3730078774901
31.72,-40.6738429109509
31.73,-40.9716380873632
31.74,-41.2664464864008
31.75,-41.5583196770111
31.76,-41.8473077766913
31.77,-42.1334595078278
31.78,-42.4168222512743
31.79,-42.6974420973271
31.8,-42.9753638942517
31.81,-43.2506312944949
31.82,-43.5232867987218
31.83,-43.7933717977937
31.84,-44.0609266128043
31.85,-44.3259905332828
31.86,-44.5886018536629
31.87,-44.8487979081138
31.88,-45.10661510382
31.89,-45.3620889527921
31.9,-45.6152541022897
31.91,-45.8661443639283
31.92,-46.1147927415336
31.93,-46.3612314578189
31.94,-46.605491979934
31.95,-46.8476050439503
31.96,-47.0876006783342
31.97,-47.3255082264574
31.98,-47.5613563681956
31.99,-47.795173140654
32,-48.0269859580699
32.01,-48.2568216309264
32.02,-48.4847063843171
32.03,-48.7106658755966
32.04,-48.9347252113513
32.05,-49.1569089637228
32.06,-49.3772411861121
32.07,-49.5957454282925
32.08,-49.8124447509615
32.09,-50.0273617397552
32.1,-50.2405185187474
32.11,-50.4519367634587
32.12,-50.6616377133986
32.13,-50.8696421841561
32.14,-51.075970579062
32.15,-51.2806429004445
32.16,-51.4836787604848
32.17,-51.685097391703
32.18,-51.8849176570804
32.19,-52.0831580598362
32.2,-52.2798367528759
32.21,-52.4749715479176
32.22,-52.668579924319
32.23,-52.860679037609
32.24,-53.0512857277406
32.25,-53.2404165270724
32.26,-53.4280876680957
32.27,-53.6143150909094
32.28,-53.7991144504572
32.29,-53.9825011235386
32.3,-54.1644902155953
32.31,-54.345096567286
32.32,-54.5243347608628
32.33,-54.7022191263426
32.34,-54.8787637474968
32.35,-55.0539824676559
32.36,-55.2278888953384
32.37,-55.4004964097141
32.38,-55.5718181659014
32.39,-55.7418671001087
32.4,-55.9106559346283
32.41,-56.0781971826783
32.42,-56.2445031531099
32.43,-56.409585954976
32.44,-56.5734575019688
32.45,-56.7361295167359
32.46,-56.8976135350657
32.47,-57.0579209099652
32.48,-57.2170628156145
32.49,-57.3750502512224
32.5,-57.531894044764
32.51,-57.6876048566254
32.52,-57.8421931831432
32.53,-57.9956693600535
32.54,-58.1480435658418
32.55,-58.299325825008
32.56,-58.4495260112454
32.57,-58.5986538505315
32.58,-58.7467189241388
32.59,-58.8937306715729
32.6,-59.039698393421
32.61,-59.1846312541473
32.62,-59.3285382847922
32.63,-59.4714283856246
32.64,-59.6133103287109
32.65,-59.754192760431
32.66,-59.8940842039219
32.67,-60.0329930614669
32.68,-60.1709276168204
32.69,-60.3078960374807
32.7,-60.4439063769035
32.71,-60.5789665766589
32.72,-60.7130844685439
32.73,-60.8462677766345
32.74,-60.9785241192978
32.75,-61.1098610111475
32.76,-61.240285864958
32.77,-61.3698059935339
32.78,-61.4984286115294
32.79,-61.6261608372329
32.8,-61.7530096943052
32.81,-61.8789821134794
32.82,-62.0040849342184
32.83,-62.1283249063406
32.84,-62.2517086916024
32.85,-62.3742428652461
32.86,-62.4959339175192
32.87,-62.6167882551454
32.88,-62.7368122027802
32.89,-62.8560120044197
32.9,-62.9743938247882
32.91,-63.0919637506869
32.92,-63.2087277923189
32.93,-63.3246918845838
32.94,-63.4398618883443
32.95,-63.5542435916616
32.96,-63.6678427110119
32.97,-63.7806648924688
32.98,-63.8927157128673
32.99,-64.0040006809369
33,-64.1145252384148
33.01,-64.2242947611379
33.02,-64.3333145601026
33.03,-64.4415898825143
33.04,-64.5491259128066
33.05,-64.6559277736431
33.06,-64.7620005268983
33.07,-64.8673491746154
33.08,-64.9719786599547
33.09,-65.0758938681056
33.1,-65.1790996271959
33.11,-65.2816007091756
33.12,-65.3834018306862
33.13,-65.4845076539074
33.14,-65.5849227873914
33.15,-65.6846517868827
33.16,-65.7836991561146
33.17,-65.8820693475998
33.18,-65.9797667633946
33.19,-66.0767957558576
33.2,-66.1731606283906
33.21,-66.2688656361607
33.22,-66.3639149868191
33.23,-66.4583128411934
33.24,-66.5520633139783
33.25,-66.6451704744068
33.26,-66.7376383469095
33.27,-66.8294709117596
33.28,-66.9206721057176
33.29,-67.0112458226462
33.3,-67.1011959141226
33.31,-67.1905261900502
33.32,-67.279240419236
33.33,-67.3673423299796
33.34,-67.4548356106358
33.35,-67.5417239101744
33.36,-67.6280108387372
33.37,-67.7136999681624
33.38,-67.7987948325263
33.39,-67.8832989286542
33.4,-67.9672157166431
33.41,-68.0505486203464
33.42,-68.1333010278843
33.43,-68.2154762921169
33.44,-68.2970777311233
33.45,-68.3781086286727
33.46,-68.4585722346793
33.47,-68.5384717656562
33.48,-68.6178104051633
33.49,-68.6965913042376
33.5,-68.7748175818266
33.51,-68.8524923252105
33.52,-68.9296185904184
33.53,-69.0061994026299
33.54,-69.0822377565869
33.55,-69.1577366169791
33.56,-69.2326989188391
33.57,-69.3071275679209
33.58,-69.3810254410785
33.59,-69.4543953866315
33.6,-69.527240224732
33.61,-69.5995627477232
33.62,-69.6713657204891
33.63,-69.7426518808041
33.64,-69.8134239396713
33.65,-69.8836845816623
33.66,-69.9534364652416
33.67,-70.0226822230989
33.68,-70.0914244624669
33.69,-70.1596657654329
33.7,-70.2274086892544
33.71,-70.2946557666641
33.72,-70.36140950617
33.73,-70.4276723923495
33.74,-70.4934468861496
33.75,-70.558735425164
33.76,-70.6235404239245
33.77,-70.6878642741784
33.78,-70.7517093451617
33.79,-70.8150779838676
33.8,-70.8779725153234
33.81,-70.9403952428436
33.82,-71.0023484482931
33.83,-71.0638343923416
33.84,-71.1248553147204
33.85,-71.1854134344606
33.86,-71.2455109501482
33.87,-71.3051500401604
33.88,-71.3643328629026
33.89,-71.4230615570432
33.9,-71.4813382417474
33.91,-71.5391650169015
33.92,-71.5965439633395
33.93,-71.6534771430668
33.94,-71.7099665994743
33.95,-71.7660143575558
33.96,-71.8216224241199
33.97,-71.8767927880029
33.98,-71.9315274202707
33.99,-71.9858282744283
34,-72.039697286618
34.01,-72.0931363758123
34.02,-72.1461474440202
34.03,-72.1987323764773
34.04,-72.2508930418317
34.05,-72.3026312923352
34.06,-72.3539489640315
34.07,-72.4048478769353
